"Name","Status","Description","References","Phase","Votes","Comments"
CVE-1999-0011,Entry,"Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.","CERT:CA-98.05.bind_problems   |   HP:HPSBUX9808-083   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083   |   SGI:19980603-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX   |   SUN:00180   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/180   |   XF:bind-axfr-dos",,"",""
CVE-1999-0012,Entry,"Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.","CERT:CA-98.04.Win32.WebServers   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0012   |   XF:nt-web8.3",,"",""
CVE-1999-0013,Entry,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.","CERT:CA-98.03.ssh-agent   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0013   |   NAI:NAI-24   |   XF:ssh-agent",,"",""
CVE-1999-0014,Entry,"Unauthorized privileged access or denial of service via dtappgather program in CDE.","CERT:CA-98.02.CDE   |   HP:HPSBUX9801-075   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9801-075   |   SUN:00185   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/185",,"",""
CVE-1999-0015,Candidate,"Teardrop IP denial of service.","CERT:CA-97.28.Teardrop_Land   |   OVAL:oval:org.mitre.oval:def:5579   |   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A5579   |   XF:teardrop",Modified (20090302),"   ACCEPT(1) Wall  |     MODIFY(1) Frech  |     REVIEWING(1) Christey","Frech> XF: teardrop-mod  |    Christey> Not sure how many separate ""instances"" of Teardrop there are.  |    See: CVE-1999-0015, CVE-1999-0104, CVE-1999-0257, CVE-1999-0258  |    Christey> See the SCO advisory at:  |    http://www.securityfocus.com/templates/advisory.html?id=1411  |    which may further clarify the issue.  |    Christey> MSKB:Q154174  |    MSKB:Q154174 (CVE-1999-0015) and MSKB:Q179129 (CVE-1999-0104)  |    indicate that CVE-1999-0015 was fixed in NT SP3, but  |    CVE-1999-0104 was not.  Thus CD:SF-LOC suggests that the  |    problems keep separate candidates because one problem appears  |    in a different version than the other.  |    Christey> BID:124  |    http://www.securityfocus.com/bid/124  |    Consider MSKB:Q154174  |    http://support.microsoft.com/support/kb/articles/q154/1/74.asp  |    Consider BUGTRAQ:19971113 Linux IP fragment overlap bug  |    http://www.securityfocus.com/archive/1/8014"
CVE-1999-0016,Entry,"Land IP denial of service.","CERT:CA-97.28.Teardrop_Land   |   CISCO:http://www.cisco.com/warp/public/770/land-pub.shtml   |   FREEBSD:FreeBSD-SA-98:01   |   HP:HPSBUX9801-076   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9801-076   |   XF:95-verv-tcp   |   XF:cisco-land   |   XF:land   |   XF:land-patch   |   XF:ver-tcpip-sys",,"",""
CVE-1999-0017,Entry,"FTP servers can allow an attacker to connect to arbitrary ports on machines other than the FTP client, aka FTP bounce.","CERT:CA-97.27.FTP_bounce   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0017   |   XF:ftp-bounce   |   XF:ftp-privileged-port",,"",""
CVE-1999-0018,Entry,"Buffer overflow in statd allows root privileges.","AUSCERT:AA-97.29   |   BID:127   |   URL:http://www.securityfocus.com/bid/127   |   CERT:CA-97.26.statd   |   XF:statd",,"",""
CVE-1999-0019,Entry,"Delete or create a file via rpc.statd, due to invalid information.","CERT:CA-96.09.rpc.statd   |   SUN:00135   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/135   |   XF:rpc-stat",,"",""
CVE-1999-0020,Candidate,"** REJECT **  DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-0032.  Reason: This candidate is a duplicate of CVE-1999-0032.  Notes: All CVE users should reference CVE-1999-0032 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage.","",Modified (20050204),"   MODIFY(1) Frech  |     NOOP(4) Levy, Northcutt, Shostack, Wall  |     REJECT(2) Baker, Christey","Frech> XF:lpr-bo  |    Christey> DUPE CVE-1999-0032, which includes XF:lpr-bo"
CVE-1999-0021,Entry,"Arbitrary command execution via buffer overflow in Count.cgi (wwwcount) cgi-bin program.","BID:128   |   URL:http://www.securityfocus.com/bid/128   |   BUGTRAQ:19971010 Security flaw in Count.cgi (wwwcount)   |   CERT:CA-97.24.Count_cgi   |   XF:http-cgi-count",,"",""
CVE-1999-0022,Entry,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.","CERT:CA-97.23.rdist   |   SUN:00179   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/179   |   XF:rdist-bo3   |   XF:rdist-sept97",,"",""
CVE-1999-0023,Entry,"Local user gains root privileges via buffer overflow in rdist, via lookup() function.","CERT:CA-96.14.rdist_vul   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0023   |   XF:rdist-bo   |   XF:rdist-bo2",,"",""
CVE-1999-0024,Entry,"DNS cache poisoning via BIND, by predictable query IDs.","CERT:CA-97.22.bind   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0024   |   NAI:NAI-11   |   XF:bind",,"",""
CVE-1999-0025,Entry,"root privileges via buffer overflow in df command on SGI IRIX systems.","AUSCERT:AA-97.19.IRIX.df.buffer.overflow.vul   |   BID:346   |   URL:http://www.securityfocus.com/bid/346   |   CERT:CA-1997-21   |   URL:http://www.cert.org/advisories/CA-1997-21.html   |   CERT-VN:VU#20851   |   URL:http://www.kb.cert.org/vuls/id/20851   |   SGI:SGI:19970505-01-A   |   SGI:SGI:19970505-02-PX   |   XF:df-bo(440)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/440",,"",""
CVE-1999-0026,Entry,"root privileges via buffer overflow in pset command on SGI IRIX systems.","AUSCERT:AA-97.20.IRIX.pset.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0026   |   XF:pset-bo",,"",""
CVE-1999-0027,Entry,"root privileges via buffer overflow in eject command on SGI IRIX systems.","AUSCERT:AA-97.21.IRIX.eject.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0027   |   XF:eject-bo",,"",""
CVE-1999-0028,Entry,"root privileges via buffer overflow in login/scheme command on SGI IRIX systems.","AUSCERT:AA-97.22.IRIX.login.scheme.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0028   |   XF:sgi-schemebo",,"",""
CVE-1999-0029,Entry,"root privileges via buffer overflow in ordist command on SGI IRIX systems.","AUSCERT:AA-97.23-IRIX.ordist.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0029   |   XF:ordist-bo",,"",""
CVE-1999-0030,Candidate,"root privileges via buffer overflow in xlock command on SGI IRIX systems.","AUSCERT:AA-97.24.IRIX.xlock.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0030   |   SGI:19970508-02-PX   |   XF:sgi-xlockbo",Proposed (19990623),"   ACCEPT(3) Levy, Ozancin, Prosser  |     NOOP(1) Baker  |     RECAST(1) Frech  |     REJECT(1) Christey","Frech> XF:xlock-bo (also add)  |    As per xlock-bo, also appears on AIX, BSDI, DG/UX, FreeBSD, Solaris, and  |    several Linii.  |    Also, don't you mean to cite SGI:19970502-02-PX? The one you list is  |    login/scheme.  |    Levy> Notice that this xlock overflow is the same as in  |    CA-97.13. CA-97.21 simply is a reminder.  |    Christey> As pointed out by Elias, CA-97.21 states: ""For more  |    information about vulnerabilities in xlock... see CA-97.13""  |    CA-97.13 = CVE-1999-0038.  |    This may also be a duplicate with CVE-1999-0306.  |      |    See exploits at:  |      |    http://marc.theaimsgroup.com/?l=bugtraq&m=87602167418394&w=2  |    http://marc.theaimsgroup.com/?l=bugtraq&m=87602167418404&w=2  |      |    Sun also has this problem, at  |    http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/150&type=0&nav=sec.sba"
CVE-1999-0031,Entry,"JavaScript in Internet Explorer 3.x and 4.x, and Netscape 2.x, 3.x and 4.x, allows remote attackers to monitor a user's web activities, aka the Bell Labs vulnerability.","CERT:CA-97.20.javascript   |   HP:HPSBUX9707-065   |   URL:http://www.codetalker.com/advisories/vendor/hp/hpsbux9707-065.html",,"",""
CVE-1999-0032,Entry,"Buffer overflow in lpr, as used in BSD-based systems including Linux, allows local users to execute arbitrary code as root via a long -C (classification) command line option.","AUSCERT:AA-96.12   |   BID:707   |   URL:http://www.securityfocus.com/bid/707   |   BUGTRAQ:19960813 Possible bufferoverflow condition in lpr, xterm and xload   |   BUGTRAQ:19961025 Linux & BSD's lpr exploit   |   CERT:CA-97.19.bsdlp   |   CIAC:H-08   |   CIAC:I-042   |   URL:http://www.ciac.org/ciac/bulletins/i-042.shtml   |   MLIST:[freebsd-security] 19961025 Vadim Kolontsov: BoS: Linux & BSD's lpr exploit   |   MLIST:[linux-security] 19961122 LSF Update#14: Vulnerability of the lpr program.   |   SGI:19980402-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19980402-01-PX   |   XF:bsd-lprbo   |   XF:bsd-lprbo2   |   XF:lpr-bo",,"",""
CVE-1999-0033,Candidate,"Command execution in Sun systems via buffer overflow in the at program.","CERT:CA-97.18.at   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0033   |   SUN:00160   |   XF:sun-atbo",Modified (20040811),"   ACCEPT(8) Baker, Cole, Collins, Dik, Hill, Northcutt, Shostack, Wall  |     NOOP(1) Christey  |     RECAST(1) Frech","Frech> This vulnerability also manifests itself for the following   |    platforms: AIX, HPUX, IRIX, Solaris, SCO, NCR MP-RAS. In this light,  |    please add the following:  |    Reference: XF:at-bo  |    Dik> Sun bug 1265200, 4063161  |    Christey> ADDREF SGI:19971102-01-PX  |    ftp://patches.sgi.com/support/free/security/advisories/19971102-01-PX  |    SCO:SB.97:01  |    ftp://ftp.sco.com/SSE/security_bulletins/SB.97:01a  |    Christey> CIAC:F-15  |    http://ciac.llnl.gov/ciac/bulletins/f-15.shtml  |    HP:HPSBUX9502-023  |    Christey> Add period to the end of the description."
CVE-1999-0034,Entry,"Buffer overflow in suidperl (sperl), Perl 4.x and 5.x.","CERT:CA-97.17.sperl   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0034   |   XF:perl-suid",,"",""
CVE-1999-0035,Entry,"Race condition in signal handling routine in ftpd, allowing read/write arbitrary files.","AUSCERT:AA-97.03   |   CERT:CA-97.16.ftpd   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0035   |   XF:ftp-ftpd",,"",""
CVE-1999-0036,Entry,"IRIX login program with a nonzero LOCKOUT parameter allows creation or damage to files.","AUSCERT:AA-97.12   |   CERT:CA-97.15.sgi_login   |   CIAC:H-106   |   URL:http://www.ciac.org/ciac/bulletins/h-106.shtml   |   OSVDB:990   |   URL:http://www.osvdb.org/990   |   SGI:19970508-02-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19970508-02-PX   |   XF:sgi-lockout(557)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/557",,"",""
CVE-1999-0037,Entry,"Arbitrary command execution via metamail package using message headers, when user processes attacker's message using metamail.","CERT:CA-97.14.metamail   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0037   |   XF:metamail-header-commands",,"",""
CVE-1999-0038,Entry,"Buffer overflow in xlock program allows local users to execute commands as root.","CERT:CA-97.13.xlock   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0038   |   XF:xlock-bo",,"",""
CVE-1999-0039,Entry,"webdist CGI program (webdist.cgi) in SGI IRIX allows remote attackers to execute arbitrary commands via shell metacharacters in the distloc parameter.","AUSCERT:AA-97.14   |   BID:374   |   URL:http://www.securityfocus.com/bid/374   |   BUGTRAQ:19970507 Re: SGI Advisory: webdist.cgi   |   BUGTRAQ:19970507 Re: SGI Security Advisory 19970501-01-A - Vulnerability in   |   CERT:CA-1997-12   |   URL:http://www.cert.org/advisories/CA-1997-12.html   |   OSVDB:235   |   URL:http://www.osvdb.org/235   |   SGI:19970501-02-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19970501-02-PX   |   XF:http-sgi-webdist(333)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/333",,"",""
CVE-1999-0040,Entry,"Buffer overflow in Xt library of X Windowing System allows local users to execute commands with root privileges.","CERT:CA-97.11.libXt   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0040   |   XF:libXt-bo",,"",""
CVE-1999-0041,Entry,"Buffer overflow in NLS (Natural Language Service).","CERT:CA-97.10.nls   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0041   |   XF:nls-bo",,"",""
CVE-1999-0042,Entry,"Buffer overflow in University of Washington's implementation of IMAP and POP servers.","CERT:CA-97.09.imap_pop   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0042   |   NAI:NAI-21   |   XF:popimap-bo",,"",""
CVE-1999-0043,Entry,"Command execution via shell metachars in INN daemon (innd) 1.5 using ""newgroup"" and ""rmgroup"" control messages, and others.","CERT:CA-97.08.innd   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0043   |   XF:inn-controlmsg",,"",""
CVE-1999-0044,Entry,"fsdump command in IRIX allows local users to obtain root access by modifying sensitive files.","SGI:19970301-01-P   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19970301-01-P   |   XF:sgi-fsdump",,"",""
CVE-1999-0045,Entry,"List of arbitrary files on Web host via nph-test-cgi script.","CERT:CA-97.07.nph-test-cgi_script   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0045   |   XF:http-cgi-nph",,"",""
CVE-1999-0046,Entry,"Buffer overflow of rlogin program using TERM environmental variable.","CERT:CA-97.06.rlogin-term   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0046   |   XF:rlogin-termbo",,"",""
CVE-1999-0047,Entry,"MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.","BID:685   |   URL:http://www.securityfocus.com/bid/685   |   CERT:CA-97.05.sendmail   |   XF:sendmail-mime-bo2",,"",""
CVE-1999-0048,Entry,"Talkd, when given corrupt DNS information, can be used to execute arbitrary commands with root privileges.","AUSCERT:AA-97.01   |   CERT:CA-97.04.talkd   |   FREEBSD:FreeBSD-SA-96:21   |   SUN:00147   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/147   |   XF:netkit-talkd   |   XF:talkd-bo",,"",""
CVE-1999-0049,Entry,"Csetup under IRIX allows arbitrary file creation or overwriting.","CERT:CA-97.03.csetup   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0049   |   XF:sgi-csetup",,"",""
CVE-1999-0050,Entry,"Buffer overflow in HP-UX newgrp program.","AUSCERT:AA-96.16.HP-UX.newgrp.Buffer.Overrun.Vulnerability   |   CERT:CA-97.02.hp_newgrp   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0050   |   XF:hp-newgrpbo",,"",""
CVE-1999-0051,Entry,"Arbitrary file creation and program execution using FLEXlm LicenseManager, from versions 4.0 to 5.0, in IRIX.","AUSCERT:AA-96.03   |   CERT:CA-97.01.flex_lm   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0051   |   XF:sgi-licensemanager",,"",""
CVE-1999-0052,Entry,"IP fragmentation denial of service in FreeBSD allows a remote attacker to cause a crash.","FREEBSD:FreeBSD-SA-98:08   |   OSVDB:908   |   URL:http://www.osvdb.org/908   |   XF:freebsd-ip-frag-dos(1389)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/1389",,"",""
CVE-1999-0053,Entry,"TCP RST denial of service in FreeBSD.","FREEBSD:FreeBSD-SA-98:07   |   OSVDB:6094   |   URL:http://www.osvdb.org/6094",,"",""
CVE-1999-0054,Entry,"Sun's ftpd daemon can be subjected to a denial of service.","SUN:00171   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/171   |   XF:sun-ftpd",,"",""
CVE-1999-0055,Entry,"Buffer overflows in Sun libnsl allow root access.","AIXAPAR:IX80543   |   URL:http://www-1.ibm.com/support/search.wss?rs=0&q=IX80543&apar=only   |   RSI:RSI.0005.05-14-98.SUN.LIBNSL   |   SUN:00172   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/172   |   XF:sun-libnsl",,"",""
CVE-1999-0056,Entry,"Buffer overflow in Sun's ping program can give root access to local users.","SUN:00174   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/174   |   XF:sun-ping",,"",""
CVE-1999-0057,Entry,"Vacation program allows command execution by remote users through a sendmail command.","HP:HPSBUX9811-087   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9811-087   |   NAI:NAI-19   |   XF:vacation",,"",""
CVE-1999-0058,Entry,"Buffer overflow in PHP cgi program, php.cgi allows shell access.","BID:712   |   URL:http://www.securityfocus.com/bid/712   |   NAI:NAI-12   |   XF:http-cgi-phpbo",,"",""
CVE-1999-0059,Entry,"IRIX fam service allows an attacker to obtain a list of all files on the server.","BID:353   |   URL:http://www.securityfocus.com/bid/353   |   NAI:NAI-16   |   OSVDB:164   |   URL:http://www.osvdb.org/164   |   XF:irix-fam(325)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/325",,"",""
CVE-1999-0060,Entry,"Attackers can cause a denial of service in Ascend MAX and Pipeline routers with a malformed packet to the discard port, which is used by the Java Configurator tool.","ASCEND:http://www.ascend.com/2695.html   |   MISC:http://www.ascend.com/2695.html   |   NAI:NAI-26   |   XF:ascend-config-kill",,"",""
CVE-1999-0061,Candidate,"File creation and deletion, and remote execution, in the BSD line printer daemon (lpd).","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0061   |   NAI:NAI-20   |   XF:bsd-lpd",Proposed (19990630),"   ACCEPT(3) Frech, Hill, Northcutt  |     RECAST(1) Baker  |     REVIEWING(1) Christey","Christey> This should be split into three separate problems based on  |    the SNI advisory.  But there's newer information to further  |    complicate things.  |      |    What do we do about this one?  in 1997 or so, SNI did an  |    advisory on this problem.  In early 2000, it was still  |    discovered to be present in some Linux systems.  So an   |    SF-DISCOVERY content decision might say that this is a  |    long enough time between the two, so this should be recorded  |    separately.  But they're the same codebase... so if we keep  |    them in the same entry, how do we make sure that this entry  |    reflects that some new information has been discovered?  |      |    The use of dot notation may help in this regard, to use one  |    dot for the original problem as discovered in 1997, and  |    another dot for the resurgence of the problem in 2000.  |    Baker> We should merge these.  |    Christey> Perhaps this should be NAI-19 instead of NAI-20?  |    The original Bugtraq post for the SNI advisory suggests SNI-19:  |    BUGTRAQ:19971002 SNI-19:BSD lpd vulnerability  |    URL:SNI-19:BSD lpd vulnerability  |      |    Also add:  |    BUGTRAQ:19971021 SNI-19: BSD lpd vulnerabilities (UPDATE)  |    URL:http://marc.theaimsgroup.com/?l=bugtraq&m=87747479514310&w=2  |      |    However, archives of ""NAI-0020"" point to the lpd vuln.  |      |    If I recall correctly, some of the NAI advisory numbers got  |    switched when NAI acquired SNI."
CVE-1999-0062,Entry,"The chpass command in OpenBSD allows a local user to gain root access through file descriptor leakage.","NAI:NAI-28   |   OSVDB:7559   |   URL:http://www.osvdb.org/7559   |   XF:openbsd-chpass",,"",""
CVE-1999-0063,Entry,"Cisco IOS 12.0 and other versions can be crashed by malicious UDP packets to the syslog port.","AUSCERT:ESB-98.197   |   CISCO:http://www.cisco.com/warp/public/770/iossyslog-pub.shtml   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0063   |   XF:cisco-syslog-crash",,"",""
CVE-1999-0064,Entry,"Buffer overflow in AIX lquerylv program gives root access to local users.","BUGTRAQ:May28,1997   |   MISC:https://marc.info/?l=bugtraq&m=87602167418428&w=2   |   XF:lquerylv-bo",,"",""
CVE-1999-0065,Entry,"Multiple buffer overflows in how dtmail handles attachments allows a remote attacker to execute commands.","SUN:00181   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/181   |   XF:hp-dtmail",,"",""
CVE-1999-0066,Entry,"AnyForm CGI remote execution.","BID:719   |   URL:http://www.securityfocus.com/bid/719   |   BUGTRAQ:19950731 SECURITY HOLE: ""AnyForm"" CGI   |   XF:http-cgi-anyform",,"",""
